city,天氣現象,temp,舒適度,降雨機率(%),temperature_range,image_name,category
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0177.png,trousers
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0292.png,trousers
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0862.png,trousers
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0060.png,trousers
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0841.png,trousers
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0743.png,trousers
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0603.png,trousers
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0310.png,trousers
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0783.png,trousers
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0249.png,trousers
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0254.png,trousers
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0561.png,trousers
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0556.png,trousers
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0101.png,trousers
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0062.png,blazer
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0838.png,trousers
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0409.png,trousers
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0997.png,trousers
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0349.png,trousers
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0019.png,trousers
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0358.png,trousers
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0495.png,trousers
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0210.png,trousers
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0636.png,blazer
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0928.png,trousers
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0802.png,trousers
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0939.png,trousers
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0957.png,trousers
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0560.png,trousers
嘉義縣,晴時多雲,16.5,寒冷至舒適,降雨機率10%,11-20°C,img_0389.png,trousers
